id,nacionalidad,tipo_sonido,cant_jug,fichas_max,salon,game
102,Indonesia,MONO,3,310,Salon 2,Metal Slug
103,China,MONO,3,464,Salon VR,Castelvania
104,Portugal,STEREO,3,602,Salon 3,Tron
105,Philippines,STEREO,3,426,Salon Carreras,Space Invaders
106,Philippines,MONO,1,248,Salon 2,Out Run
107,Mexico,STEREO,4,944,Salon 5,Pong
108,Russia,STEREO,3,954,Salon 6,Bubble Bobble
109,Bulgaria,STEREO,3,568,Salon 6,Star Wars
110,Indonesia,STEREO,4,478,Salon 1,Metal Slug
111,Russia,MONO,3,858,Salon Carreras,Virtua Cop
112,China,STEREO,5,888,Salon Retro,Space Invaders
113,China,STEREO,3,218,Salon 2021,Pacman
114,Chile,STEREO,5,564,Salon 6,Castelvania
115,China,STEREO,1,354,Salon 5,Arkanoid
116,Poland,MONO,3,346,Salon 6,Mortal Kombat
117,Japan,MONO,5,974,Salon Carreras,Tron
118,China,MONO,1,264,Salon 4,Virtua Cop
119,China,STEREO,5,948,Salon 2021,Out Run
120,Mexico,STEREO,5,670,Salon VR,Pacman
121,New Caledonia,STEREO,2,586,Salon Retro,Star Wars
122,Portugal,STEREO,3,212,Salon 1,Virtua Cop
123,Nigeria,STEREO,5,780,Salon Retro,Frogger
124,China,MONO,2,368,Salon 2021,Bubble Bobble
125,Greece,STEREO,3,404,Salon 4,Arkanoid
126,Bolivia,MONO,5,782,Salon 2021,Castelvania
127,Peru,STEREO,3,822,Salon VR,Star Wars
128,China,STEREO,5,916,Salon 6,Metal Slug
129,Peru,STEREO,2,844,Salon 3,Virtua Cop
130,Argentina,STEREO,2,364,Salon 2021,Asteroids
131,South Africa,MONO,2,580,Salon 5,Arkanoid
132,Argentina,STEREO,2,872,Salon 2021,Out Run
133,Ukraine,STEREO,2,822,Salon 2021,Tron
134,Czech Republic,MONO,1,960,Salon Retro,Out Run
135,China,STEREO,3,534,Salon 2,Pong
136,Armenia,MONO,3,748,Salon 4,Asteroids
137,France,MONO,4,578,Salon 6,Out Run
138,Indonesia,MONO,4,302,Salon 3,Out Run
139,Czech Republic,STEREO,3,272,Salon VR,Metal Slug
140,Armenia,STEREO,4,792,Salon 1,Mortal Kombat
141,Guatemala,STEREO,3,792,Salon 2,Street Fighter II
142,France,MONO,5,988,Salon 2021,Frogger
143,China,MONO,5,666,Salon 2021,Mortal Kombat
144,Chile,STEREO,1,214,Salon 5,Pacman
145,Russia,MONO,5,708,Salon 3,Street Fighter II
146,Slovenia,MONO,5,354,Salon 3,Pong
147,United States,MONO,2,842,Salon 2,Mortal Kombat
148,Japan,STEREO,2,338,Salon 2021,Tron
149,Philippines,STEREO,2,300,Salon 1,Star Wars
150,Philippines,STEREO,3,534,Salon Carreras,Star Wars
151,Thailand,MONO,4,218,Salon 5,Tetris
152,Argentina,STEREO,3,306,Salon VR,Out Run
153,China,MONO,1,292,Salon 1,Double Dragon
154,Indonesia,MONO,2,664,Salon 2021,Pacman
155,China,MONO,3,794,Salon 6,Castelvania
156,Nepal,MONO,5,434,Salon 2021,Frogger
157,Estonia,MONO,2,602,Salon 2,Out Run
158,France,STEREO,1,846,Salon 4,Pong
159,Ethiopia,STEREO,1,582,Salon 3,Metal Slug
160,Malaysia,STEREO,5,884,Salon 2,Galaga
161,Czech Republic,STEREO,2,442,Salon Carreras,Pong
162,Indonesia,STEREO,1,380,Salon VR,Tetris
163,Russia,MONO,3,876,Salon 3,Asteroids
164,China,STEREO,4,744,Salon 3,Tetris
165,Venezuela,STEREO,5,396,Salon 5,Asteroids
166,Sweden,MONO,2,394,Salon 1,Bubble Bobble
167,Brazil,MONO,1,674,Salon 2,Out Run
168,Brazil,MONO,2,326,Salon 1,Asteroids
169,Philippines,STEREO,5,376,Salon 4,Out Run
170,Brazil,MONO,1,926,Salon 5,Double Dragon
171,Paraguay,MONO,5,622,Salon 2,Metal Slug
172,China,MONO,4,832,Salon 2,Street Fighter II
173,Ukraine,STEREO,3,936,Salon 4,Tetris
174,South Africa,STEREO,5,756,Salon VR,Bubble Bobble
175,Poland,MONO,5,270,Salon VR,Metal Slug
176,Canada,STEREO,3,802,Salon Carreras,Street Fighter II
177,French Guiana,STEREO,4,368,Salon 1,Pacman
178,Belarus,STEREO,2,850,Salon Carreras,Bubble Bobble
179,Benin,MONO,3,476,Salon 1,Bubble Bobble
180,Haiti,MONO,3,732,Salon Retro,Tetris
181,United States,MONO,5,712,Salon 1,Mortal Kombat
182,Sweden,MONO,1,216,Salon 6,Galaga
183,Japan,MONO,2,568,Salon 4,Castelvania
184,Sweden,MONO,3,510,Salon 6,Bubble Bobble
185,Brazil,STEREO,3,552,Salon 2,Tron
186,Russia,MONO,3,784,Salon VR,Tetris
187,Comoros,STEREO,2,550,Salon 5,Arkanoid
188,Sweden,MONO,5,898,Salon Carreras,Arkanoid
189,Ukraine,MONO,4,266,Salon 2021,Space Invaders
190,Philippines,STEREO,3,750,Salon 4,Virtua Cop
191,Zimbabwe,STEREO,5,918,Salon 3,Out Run
192,Brazil,MONO,1,290,Salon 5,Arkanoid
193,Poland,STEREO,1,300,Salon 1,Pacman
194,France,MONO,1,254,Salon 4,Double Dragon
195,Indonesia,MONO,1,678,Salon 3,Arkanoid
196,Iran,MONO,5,388,Salon 3,Pacman
197,Brazil,STEREO,1,578,Salon 5,Bubble Bobble
198,Panama,STEREO,4,566,Salon Retro,Castelvania
199,Panama,STEREO,5,486,Salon 2,Metal Slug
200,China,STEREO,2,760,Salon 1,Pacman
201,China,MONO,1,542,Salon 2,Space Invaders
202,Afghanistan,STEREO,2,934,Salon Carreras,Pacman
203,France,STEREO,4,410,Salon 2021,Mortal Kombat
204,Brazil,STEREO,2,226,Salon 6,Pacman
205,Portugal,STEREO,1,1000,Salon 2021,Arkanoid
206,United States,STEREO,5,634,Salon 6,Bubble Bobble
207,China,MONO,4,910,Salon 5,Out Run
208,Georgia,MONO,1,940,Salon 1,Street Fighter II
209,Luxembourg,MONO,2,424,Salon 6,Star Wars
210,Mongolia,MONO,5,720,Salon VR,Tron
211,Hungary,MONO,2,710,Salon 2,Pong
212,Portugal,MONO,1,974,Salon VR,Castelvania
213,United States,MONO,2,698,Salon 1,Tron
214,Indonesia,MONO,5,988,Salon VR,Double Dragon
215,China,MONO,1,622,Salon VR,Frogger
216,Indonesia,MONO,2,232,Salon Retro,Virtua Cop
217,Portugal,STEREO,2,1000,Salon Carreras,Galaga
218,Russia,MONO,5,504,Salon 1,Mortal Kombat
219,China,MONO,1,734,Salon 2021,Galaga
220,China,MONO,3,552,Salon 5,Tetris
221,China,STEREO,2,878,Salon 3,Frogger
222,Russia,MONO,1,432,Salon 1,Castelvania
223,Ecuador,STEREO,3,552,Salon 2,Mortal Kombat
224,Colombia,MONO,1,226,Salon 1,Tron
225,China,MONO,4,330,Salon 1,Metal Slug
226,Philippines,MONO,4,816,Salon Retro,Metal Slug
227,Russia,STEREO,5,682,Salon 1,Mortal Kombat
228,Indonesia,STEREO,3,454,Salon Retro,Metal Slug
229,New Caledonia,STEREO,1,756,Salon Carreras,Street Fighter II
230,Serbia,MONO,3,598,Salon 2,Tetris
231,China,MONO,3,970,Salon 3,Metal Slug
232,Dominica,STEREO,2,772,Salon Retro,Pacman
233,Azerbaijan,STEREO,5,418,Salon 3,Pong
234,Pakistan,STEREO,4,756,Salon 3,Double Dragon 2
235,China,MONO,4,672,Salon Retro,Space Invaders
236,Bulgaria,MONO,4,942,Salon VR,Virtua Cop
237,China,STEREO,1,362,Salon 2,Frogger
238,United States,STEREO,1,302,Salon 4,Pacman
239,Brazil,MONO,2,422,Salon 6,Frogger
240,Russia,STEREO,1,572,Salon 2021,Asteroids
241,China,MONO,1,714,Salon 3,Tetris
242,Indonesia,STEREO,4,924,Salon 2,Bubble Bobble
243,Indonesia,STEREO,2,702,Salon Retro,Tron
244,China,STEREO,4,350,Salon 6,Pong
245,Ivory Coast,STEREO,3,526,Salon Retro,Mortal Kombat
246,France,STEREO,1,474,Salon 2,Frogger
247,Iran,MONO,5,954,Salon Carreras,Galaga
248,United States,MONO,4,608,Salon 1,Castelvania
249,Greece,STEREO,2,690,Salon VR,Double Dragon
250,China,STEREO,3,670,Salon 3,Frogger
251,Mongolia,MONO,3,348,Salon Carreras,Arkanoid
252,China,MONO,5,816,Salon 4,Space Invaders
253,China,MONO,5,660,Salon 1,Virtua Cop
254,China,STEREO,5,422,Salon 1,Bubble Bobble
255,Japan,STEREO,3,764,Salon Carreras,Pong
256,Mauritius,MONO,3,246,Salon 1,Pacman
257,Russia,MONO,2,574,Salon 2021,Frogger
258,Indonesia,MONO,2,464,Salon 2021,Double Dragon
259,China,STEREO,2,322,Salon VR,Out Run
260,Slovenia,STEREO,3,988,Salon Carreras,Street Fighter II
261,Ireland,STEREO,4,950,Salon 1,Metal Slug
262,Nigeria,MONO,4,564,Salon 2021,Arkanoid
263,Philippines,MONO,1,942,Salon Carreras,Star Wars
264,Argentina,STEREO,2,578,Salon 2021,Street Fighter II
265,China,MONO,3,338,Salon 1,Star Wars
266,China,STEREO,2,276,Salon Carreras,Bubble Bobble
267,Mozambique,MONO,3,828,Salon VR,Castelvania
268,Brazil,STEREO,2,202,Salon 2021,Space Invaders
269,Venezuela,STEREO,2,698,Salon 6,Mortal Kombat
270,Sweden,STEREO,3,712,Salon 6,Bubble Bobble
271,Mauritania,STEREO,1,528,Salon 2021,Street Fighter II
272,China,STEREO,4,482,Salon Carreras,Star Wars
273,China,MONO,5,342,Salon 1,Tron
274,Russia,STEREO,3,712,Salon 1,Bubble Bobble
275,Martinique,MONO,1,648,Salon Carreras,Bubble Bobble
276,Indonesia,STEREO,2,446,Salon 2021,Double Dragon
277,Peru,MONO,5,980,Salon 5,Star Wars
278,China,MONO,1,500,Salon 6,Street Fighter II
279,Thailand,MONO,3,528,Salon Retro,Galaga
280,Russia,MONO,3,908,Salon VR,Frogger
281,Greece,MONO,5,476,Salon 4,Bubble Bobble
282,Malaysia,MONO,4,842,Salon 1,Virtua Cop
283,Greece,MONO,2,258,Salon 1,Out Run
284,Bolivia,STEREO,1,776,Salon 5,Bubble Bobble
285,Thailand,STEREO,3,520,Salon 4,Frogger
286,Poland,STEREO,4,478,Salon 5,Asteroids
287,Philippines,STEREO,1,286,Salon Retro,Mortal Kombat
288,Palestinian Territory,STEREO,4,824,Salon Retro,Out Run
289,Sweden,MONO,2,454,Salon 3,Frogger
290,Mongolia,STEREO,1,498,Salon 5,Pacman
291,Brazil,STEREO,1,234,Salon 4,Out Run
292,China,MONO,4,308,Salon VR,Frogger
293,Qatar,MONO,1,788,Salon Carreras,Arkanoid
294,Indonesia,STEREO,4,926,Salon Carreras,Tron
295,Dominican Republic,MONO,5,686,Salon 5,Street Fighter II
296,Sweden,STEREO,2,240,Salon Carreras,Pong
297,Senegal,STEREO,2,734,Salon 6,Arkanoid
298,Russia,STEREO,1,826,Salon VR,Pacman
299,China,MONO,3,226,Salon 4,Castelvania
300,China,MONO,1,858,Salon 2,Frogger
301,Guatemala,MONO,2,926,Salon 2021,Star Wars
302,Bangladesh,STEREO,3,752,Salon 2021,Pong
303,Mexico,STEREO,5,394,Salon 3,Frogger
304,Tunisia,MONO,1,468,Salon 5,Street Fighter II
305,France,STEREO,5,534,Salon 6,Bubble Bobble
306,Nicaragua,STEREO,5,244,Salon 2,Galaga
307,Sweden,MONO,2,758,Salon 3,Virtua Cop
308,Canada,STEREO,2,370,Salon 2,Tetris
309,China,STEREO,1,310,Salon Retro,Galaga
310,China,STEREO,3,290,Salon Retro,Frogger
311,Finland,STEREO,5,270,Salon 5,Out Run
312,Indonesia,STEREO,2,436,Salon 6,Castelvania
313,Nigeria,MONO,1,896,Salon 3,Tetris
314,Indonesia,STEREO,2,290,Salon 4,Virtua Cop
315,Czech Republic,MONO,3,220,Salon Carreras,Double Dragon
316,Czech Republic,STEREO,1,270,Salon 2021,Bubble Bobble
317,Indonesia,STEREO,3,472,Salon 2021,Street Fighter II
318,Argentina,STEREO,1,446,Salon 2,Galaga
319,France,STEREO,3,590,Salon 2,Pacman
320,Portugal,STEREO,3,664,Salon VR,Bubble Bobble
321,Indonesia,STEREO,4,808,Salon 3,Tetris
322,Greece,MONO,5,286,Salon VR,Castelvania
323,China,STEREO,5,950,Salon 2021,Mortal Kombat
324,Namibia,STEREO,4,416,Salon 2,Tron
325,China,STEREO,1,354,Salon 2,Mortal Kombat
326,China,MONO,1,846,Salon Retro,Arkanoid
327,Greece,STEREO,2,344,Salon 3,Double Dragon
328,Brazil,STEREO,3,270,Salon 1,Double Dragon
329,Albania,MONO,3,772,Salon 3,Double Dragon
330,Philippines,MONO,4,624,Salon 2021,Star Wars
331,China,STEREO,5,660,Salon Carreras,Asteroids
332,Russia,MONO,2,510,Salon 3,Street Fighter II
333,China,MONO,4,622,Salon 2021,Out Run
334,China,STEREO,1,708,Salon 3,Pacman
335,Ukraine,MONO,3,432,Salon 4,Arkanoid
336,Belarus,STEREO,1,658,Salon 6,Mortal Kombat
337,Portugal,STEREO,1,816,Salon 5,Metal Slug
338,Brazil,MONO,3,524,Salon VR,Street Fighter II
339,France,STEREO,2,524,Salon 2021,Pacman
340,Japan,MONO,2,454,Salon 4,Pong
341,Russia,STEREO,4,458,Salon VR,Arkanoid
342,Indonesia,STEREO,1,698,Salon 3,Castelvania
343,Albania,MONO,2,750,Salon 6,Castelvania
344,Dominican Republic,MONO,3,872,Salon 2,Tron
345,United States,STEREO,1,838,Salon Carreras,Virtua Cop
346,Malaysia,STEREO,4,802,Salon VR,Galaga
347,Brazil,STEREO,3,756,Salon Carreras,Pong
348,South Africa,STEREO,3,956,Salon VR,Space Invaders
349,Russia,STEREO,3,742,Salon VR,Castelvania
350,China,STEREO,2,494,Salon 5,Castelvania
351,Poland,MONO,1,860,Salon 1,Tetris
352,Ukraine,MONO,2,518,Salon Retro,Street Fighter II
353,Japan,MONO,5,368,Salon 4,Arkanoid
354,China,STEREO,3,724,Salon 2,Metal Slug
355,Portugal,MONO,4,348,Salon 2,Frogger
356,Germany,MONO,5,998,Salon VR,Pong
357,Comoros,MONO,2,696,Salon Carreras,Virtua Cop
358,Costa Rica,STEREO,4,966,Salon Carreras,Virtua Cop
359,Ireland,MONO,4,668,Salon VR,Tron
360,China,STEREO,4,476,Salon VR,Pong
361,China,STEREO,5,702,Salon 4,Pacman
362,Democratic Republic of the Congo,MONO,2,762,Salon 6,Asteroids
363,Philippines,MONO,2,662,Salon 2,Galaga
364,Brazil,STEREO,1,812,Salon Carreras,Street Fighter II
365,Ethiopia,STEREO,4,976,Salon 2021,Bubble Bobble
366,United States,STEREO,1,978,Salon 1,Castelvania
367,China,MONO,2,762,Salon 3,Double Dragon
368,China,MONO,5,308,Salon 4,Metal Slug
369,United Kingdom,STEREO,4,404,Salon Carreras,Arkanoid
370,Kosovo,MONO,4,662,Salon 4,Tetris
371,China,MONO,1,788,Salon Carreras,Arkanoid
372,Russia,STEREO,4,442,Salon Retro,Bubble Bobble
373,Russia,STEREO,2,594,Salon 2,Virtua Cop
374,Saudi Arabia,STEREO,5,452,Salon 4,Star Wars
375,Brazil,MONO,2,204,Salon 3,Street Fighter II
376,Martinique,STEREO,5,774,Salon 4,Double Dragon
377,China,STEREO,2,422,Salon Retro,Out Run
378,China,STEREO,1,980,Salon 5,Street Fighter II
379,Canada,MONO,4,200,Salon 2,Galaga
380,Indonesia,MONO,2,276,Salon 5,Bubble Bobble
381,Indonesia,STEREO,2,902,Salon 3,Mortal Kombat
382,Peru,MONO,2,982,Salon 2,Double Dragon
383,Indonesia,MONO,5,912,Salon VR,Double Dragon
384,Japan,STEREO,2,268,Salon VR,Double Dragon
385,Bosnia and Herzegovina,MONO,1,632,Salon 2021,Bubble Bobble
386,Iran,STEREO,4,240,Salon 6,Street Fighter II
387,China,STEREO,2,802,Salon 3,Street Fighter II
388,Philippines,STEREO,2,224,Salon 2,Star Wars
389,Indonesia,STEREO,4,294,Salon 2021,Frogger
390,Liberia,MONO,3,446,Salon 6,Frogger
391,China,STEREO,4,846,Salon 4,Arkanoid
392,Peru,STEREO,5,240,Salon 3,Space Invaders
393,Philippines,STEREO,3,672,Salon Retro,Arkanoid
394,Brazil,MONO,5,390,Salon 6,Virtua Cop
395,Indonesia,MONO,3,396,Salon 6,Out Run
396,China,MONO,4,878,Salon Carreras,Double Dragon
397,Philippines,MONO,2,288,Salon 4,Double Dragon
398,China,MONO,1,660,Salon 2,Tetris
399,Indonesia,MONO,1,226,Salon 2,Double Dragon
400,China,MONO,2,552,Salon 2,Space Invaders
401,Germany,STEREO,2,974,Salon 3,Out Run
402,Philippines,STEREO,4,244,Salon 6,Galaga
403,Czech Republic,MONO,5,336,Salon Carreras,Castelvania
404,Indonesia,STEREO,4,702,Salon 3,Double Dragon
405,Indonesia,MONO,5,788,Salon Retro,Double Dragon
406,Philippines,MONO,2,812,Salon 3,Mortal Kombat
407,Poland,MONO,2,430,Salon VR,Virtua Cop
408,Russia,STEREO,4,402,Salon Retro,Tetris
409,Peru,STEREO,1,418,Salon VR,Bubble Bobble
410,Russia,STEREO,5,322,Salon 3,Double Dragon
411,China,STEREO,2,858,Salon 3,Tron
412,Ecuador,STEREO,3,476,Salon 4,Pong
413,China,MONO,1,772,Salon 6,Tetris
414,Chile,MONO,2,338,Salon Carreras,Pacman
415,China,STEREO,3,824,Salon VR,Bubble Bobble
416,South Africa,STEREO,2,576,Salon 1,Galaga
417,China,MONO,3,234,Salon 5,Tetris
418,Russia,MONO,3,300,Salon Retro,Castelvania
419,Portugal,STEREO,5,262,Salon 4,Galaga
420,Sweden,STEREO,2,366,Salon 3,Asteroids
421,Philippines,MONO,1,660,Salon 4,Tetris
422,Cameroon,MONO,1,602,Salon 3,Asteroids
423,Indonesia,STEREO,2,436,Salon 6,Galaga
424,Russia,MONO,5,844,Salon 1,Space Invaders
425,Poland,STEREO,4,576,Salon 4,Double Dragon
426,Nigeria,STEREO,1,602,Salon 1,Bubble Bobble
427,China,STEREO,5,332,Salon 2021,Double Dragon
428,Indonesia,MONO,5,396,Salon 2,Street Fighter II
429,China,STEREO,4,380,Salon 3,Pacman
430,Brazil,MONO,4,884,Salon 2,Tetris
431,China,MONO,5,514,Salon Retro,Street Fighter II
432,Ukraine,STEREO,5,946,Salon 3,Frogger
433,China,MONO,5,232,Salon Retro,Space Invaders
434,Mauritania,MONO,5,802,Salon Carreras,Tron
435,China,MONO,3,680,Salon 4,Castelvania
436,Bangladesh,MONO,3,790,Salon VR,Pong
437,China,STEREO,3,626,Salon 1,Star Wars
438,Pakistan,STEREO,2,388,Salon 4,Tron
439,China,STEREO,3,402,Salon VR,Arkanoid
440,Burundi,STEREO,1,530,Salon 2,Star Wars
441,Nauru,STEREO,2,898,Salon 3,Out Run
442,Dominican Republic,MONO,4,548,Salon 4,Asteroids
443,Sweden,STEREO,2,708,Salon Retro,Metal Slug
444,Indonesia,MONO,2,268,Salon 5,Pacman
445,Canada,STEREO,4,806,Salon 4,Galaga
446,Germany,STEREO,4,272,Salon VR,Bubble Bobble
447,China,MONO,5,662,Salon 6,Pacman
448,Russia,STEREO,3,442,Salon 5,Pacman
449,China,MONO,5,952,Salon 4,Galaga
450,Libya,STEREO,2,882,Salon 3,Space Invaders
451,Finland,STEREO,4,670,Salon 2021,Galaga
452,China,MONO,1,894,Salon Retro,Castelvania
453,Brazil,MONO,1,282,Salon 3,Out Run
454,Russia,MONO,5,780,Salon 4,Mortal Kombat
455,China,MONO,2,768,Salon 4,Tetris
456,Brazil,MONO,4,238,Salon Carreras,Pacman
457,Lithuania,MONO,3,422,Salon 4,Pacman
458,China,MONO,4,696,Salon VR,Bubble Bobble
459,Switzerland,STEREO,1,620,Salon 5,Space Invaders
460,Poland,MONO,5,576,Salon 2,Galaga
461,Indonesia,MONO,2,296,Salon 6,Tetris
462,Yemen,STEREO,5,744,Salon 4,Tetris
463,China,MONO,2,958,Salon 2021,Mortal Kombat
464,China,STEREO,4,464,Salon 2021,Tetris
465,Uganda,MONO,3,658,Salon 1,Tetris
466,Czech Republic,MONO,5,264,Salon 1,Space Invaders
467,Czech Republic,MONO,1,994,Salon 2,Frogger
468,China,STEREO,5,740,Salon 6,Space Invaders
469,Iran,STEREO,5,932,Salon Retro,Tetris
470,Nigeria,MONO,2,800,Salon 2,Pacman
471,Philippines,STEREO,4,956,Salon VR,Star Wars
472,Iran,MONO,5,386,Salon 2,Bubble Bobble
473,Indonesia,STEREO,1,972,Salon VR,Space Invaders
474,Indonesia,MONO,4,284,Salon 5,Arkanoid
475,Philippines,MONO,2,538,Salon 4,Space Invaders
476,China,MONO,2,260,Salon 3,Street Fighter II
477,Albania,MONO,4,200,Salon 3,Pacman
478,China,MONO,1,558,Salon 3,Out Run
479,Indonesia,STEREO,3,296,Salon 4,Mortal Kombat
480,Indonesia,MONO,3,452,Salon 6,Star Wars
481,Indonesia,MONO,5,976,Salon Retro,Tron
482,Russia,STEREO,5,708,Salon 4,Asteroids
483,Afghanistan,MONO,4,662,Salon 6,Tetris
484,China,MONO,1,888,Salon VR,Galaga
485,France,MONO,4,284,Salon Carreras,Castelvania
486,Netherlands,STEREO,2,326,Salon 2021,Virtua Cop
487,China,MONO,4,472,Salon 2021,Double Dragon
488,Argentina,MONO,4,792,Salon VR,Arkanoid
489,Azerbaijan,STEREO,2,946,Salon 2021,Star Wars
490,Philippines,STEREO,5,384,Salon Retro,Mortal Kombat
491,Russia,STEREO,1,362,Salon VR,Double Dragon
493,Chad,MONO,5,372,Salon VR,Castelvania
494,Poland,STEREO,1,634,Salon Retro,Pong
495,Brazil,STEREO,5,300,Salon 3,Tetris
496,Mexico,MONO,4,268,Salon 4,Pong
497,China,MONO,1,448,Salon Carreras,Out Run
500,Morocco,MONO,4,654,Salon VR,Double Dragon
503,Indio,STEREO,2,24,Yoga 2,Parapita
504,Po,MONO,4,24,Poi,Werty
505,Ponja,MONO,8,46,Arigatooo 2,Samurai IV
506,China,STEREO,4,68,Pekin 4,Para yorugua
507,Chileno,MONO,4,468,Hilo,Finiiito
